,n,Insertion Sort,Merge Sort,Quick Sort
,250,1469,1113,977
,255,1418,1129,1022
,260,1646,1155,1122
,265,1563,1220,1046
,270,1642,1206,1042
,275,1736,1230,1141
,280,1827,1251,1148
,285,1889,1278,1183
,290,1840,1313,1119
,295,1972,1326,1261
,300,2022,1357,1267
,305,2197,1373,1210
,310,2189,1403,1312
,315,2195,1428,1291
,320,2230,1445,1293
,325,2403,1479,1344
,330,2368,1511,1387
,335,2514,1571,1392
,340,2629,1549,1469
,345,2664,1581,1505
,350,2679,1607,1382
,355,2905,1626,1447
,360,2756,1652,1444
,365,2836,1684,1528
,370,2873,1787,1547
,375,2974,1729,1526
,380,3165,1774,1559
,385,3136,1773,1605
,390,3287,1824,1669
,395,3496,1857,1633
,400,3625,1973,1594
,405,3811,1960,1776
,410,3529,1948,1751
,415,3786,2039,2010
,420,4010,2077,1800
,425,4020,1995,1809
,430,3884,2039,1941
,435,4085,2035,1825
,440,4340,2088,2075
,445,4374,2213,2136
,450,4691,2377,2005
,455,4802,2223,2061
,460,4554,2272,2264
,465,4739,2244,1969
,470,4931,2271,2002
,475,5025,2423,2278
,480,4935,2357,2328
,485,5087,2381,2059
,490,5753,2486,2331
,495,5475,2503,2169
,500,,,
###############################################,,,,
,5,13,17.0000000002,18.0000000003
,10,16,27.0000000002,32
,15,31.9999999996,51,68.0000000002
,20,32.9999999997,77.9999999998,64.0000000001
,25,42.9999999998,80.0000000001,71.9999999998
,30,51,109,103
,35,71.0000000002,116,114
,40,80.0000000001,135,129
,45,78.9999999999,161,156
,50,96.9999999998,171,176
,55,119,191,335
,60,148,245,234
,65,133,237,223
,70,167,254,267
,75,172,275,277
,80,201,292,281
,85,226,323,293
,90,240,342,336
,95,264,361,331
,100,384,402,369
,105,303,424,420
,110,332,503,453
,115,371,515,481
,120,367,469,443
,125,397,493,475
,130,430,514,479
,135,504,539,468
,140,524,561,519
,145,544,579,554
,150,570,630,605
,155,606,634,596
,160,638,658,679
,165,657,677,656
,170,707,718,751
,175,754,729,729
,180,799,741,716
,185,804,771,731
,190,917,884,816
,195,934,830,788
,200,921,850,795
,205,1055,866,798
,210,985,886,810
,215,1093,928,864
,220,1100,929,841
,225,1175,954,898
,230,1186,1015,920
,235,1266,1005,875
,240,1325,1024,921
,245,1338,1072,974
,250,1429,1075,1007
,255,1403,1102,1005
,260,1583,1128,987
,265,1466,1151,996
,270,1592,1186,1057
,275,1579,1233,1146
,280,1750,1229,1086
,285,1666,1251,1156
,290,1829,1288,1165
,295,1880,1335,1226
,300,1828,1352,1283
,305,1969,1351,1180
,310,2182,1492,1303
,315,2158,1408,1361
,320,2394,1427,1307
,325,2144,1494,1377
,330,2427,1483,1297
,335,2545,1494,1369
,340,2565,1528,1341
,345,2664,1553,1413
,350,2591,1575,1458
,355,2762,1622,1503
,360,2868,1714,1743
,365,2957,1755,1568
,370,3097,1694,1567
,375,2966,1726,1672
,380,3200,1749,1568
,385,3401,1798,1646
,390,3066,1894,1728
,395,3194,1860,1700
,400,3559,1878,1689
,405,3520,2021,1654
,410,3855,1917,1844
,415,3960,1955,1812
,420,3717,1994,1812
,425,3964,2144,1886
,430,3977,2023,1887
,435,3850,2090,2062
,440,4169,2040,2027
,445,4413,2315,1900
,450,4389,2154,1891
,455,4607,2157,1920
,460,4493,2370,1983
,465,4565,2170,1858
,470,4416,2278,2113
,475,4706,2215,2034
,480,4834,2243,2029
,485,4928,2355,2282
,490,5366,2458,2105
,495,5109,2414,2208
,500,5187,2413,2327
###############################################,,,,
,5,16,16,16
,10,16,28.0000000004,29.0000000001
,15,19.9999999997,42.0000000001,39.9999999998
,20,30.9999999999,58.9999999998,55.9999999998
,25,35.9999999997,77.0000000001,77.0000000001
,30,48,93.9999999998,101
,35,57.0000000004,113,111
,40,72.0000000003,132,136
,45,80.0000000001,157,161
,50,96.9999999998,170,159
,55,112,196,189
,60,122,210,196
,65,168,230,221
,70,171,259,256
,75,162,271,278
,80,203,293,302
,85,213,326,305
,90,252,341,343
,95,301,382,399
,100,266,385,397
,105,316,414,354
,110,328,439,416
,115,396,451,439
,120,389,484,481
,125,448,496,482
,130,440,526,483
,135,501,592,563
,140,532,573,529
,145,563,590,541
,150,605,605,590
,155,623,632,626
,160,732,706,658
,165,694,684,647
,170,722,711,716
,175,744,728,711
,180,811,770,740
,185,839,778,762
